pair_id	cluster_1	cluster_2	early_corr	late_corr	divergence_score	phase_support_count	cluster_1_delta	cluster_2_delta	cluster_1_top_genes	cluster_2_top_genes
C1_vs_C4	1	4	0.998658561125707	-0.976403352973196	1.9750619140989	1	-0.0429640132127761	0.7945988744924	Ung,Mcm5,Prim1,Mcm7,Slbp,Pola1,Chaf1b,Thap1,Cdc6,Tipin	Kif23,Ckap2,Ncapd2,Mki67,Nek2,Ckap2l,Hjurp,Cdca2,Cenpf,Dlgap5
C1_vs_C5	1	5	0.984810967280228	-0.972064402297287	1.95687536957751	1	-0.0429640132127761	-0.0761996244957325	Ung,Mcm5,Prim1,Mcm7,Slbp,Pola1,Chaf1b,Thap1,Cdc6,Tipin	Cks2,Cenpa,Psrc1,Kif20b,Aurka,Birc5,Kif2c,Ckap5,Anln,Ccnb2
C2_vs_C4	2	4	0.951049885038685	-0.518532129990607	1.46958201502929	1	1.64406275917415	0.7945988744924	Klf9,Gas2l3,Tubb4b,Klf13,Klf6,E2f8	Kif23,Ckap2,Ncapd2,Mki67,Nek2,Ckap2l,Hjurp,Cdca2,Cenpf,Dlgap5
C2_vs_C5	2	5	0.892752949815356	-0.704079717322555	1.59683266713791	0	1.64406275917415	-0.0761996244957325	Klf9,Gas2l3,Tubb4b,Klf13,Klf6,E2f8	Cks2,Cenpa,Psrc1,Kif20b,Aurka,Birc5,Kif2c,Ckap5,Anln,Ccnb2
C3_vs_C4	3	4	0.998719612867104	-0.920486000370532	1.91920561323764	1	-0.661048322555367	0.7945988744924	Klf8,Cks1b,Sp1,Rad51,Rrm2,Mrpl36,Dscc1,Gins2,Sp4,Cbx5	Kif23,Ckap2,Ncapd2,Mki67,Nek2,Ckap2l,Hjurp,Cdca2,Cenpf,Dlgap5
C3_vs_C5	3	5	0.987044648838507	-0.805499012216439	1.79254366105495	1	-0.661048322555367	-0.0761996244957325	Klf8,Cks1b,Sp1,Rad51,Rrm2,Mrpl36,Dscc1,Gins2,Sp4,Cbx5	Cks2,Cenpa,Psrc1,Kif20b,Aurka,Birc5,Kif2c,Ckap5,Anln,Ccnb2
