phase	cluster_1	cluster_2	early_corr	late_corr	divergence_score
ALL	1	4	0.998658561125707	-0.976403352973196	1.9750619140989
ALL	1	5	0.984810967280228	-0.972064402297287	1.95687536957751
ALL	3	4	0.998719612867104	-0.920486000370532	1.91920561323764
ALL	3	5	0.987044648838507	-0.805499012216439	1.79254366105495
ALL	2	5	0.892752949815356	-0.704079717322555	1.59683266713791
ALL	2	4	0.951049885038685	-0.518532129990607	1.46958201502929
ALL	5	6	0.381588790660121	-0.730585010968776	1.1121738016289
ALL	4	6	0.235469086895869	-0.873103805665154	1.10857289256102
ALL	2	3	0.951978015439215	0.273603897871523	0.678374117567692
ALL	1	2	0.956199270613701	0.650698558287819	0.305500712325882
ALL	1	3	0.999900513922193	0.900226926990644	0.0996735869315488
ALL	4	5	0.988053398663989	0.967210556561423	0.0208428421025662
ALL	2	6	-0.0757851658424927	0.154097912355358	-0.229883078197851
ALL	1	6	0.217948036871193	0.839303535080533	-0.62135549820934
ALL	3	6	0.23156024080383	0.992251665123344	-0.760691424319514
G1_like	5	6	0.279759838632148	-0.272926923721044	0.552686762353192
G1_like	1	2	0.220245856252294	-0.0525911038710547	0.272836960123349
G1_like	1	3	0.999705251577834	0.863277964389224	0.13642728718861
G1_like	4	6	-0.253043852975343	-0.325261982221558	0.0722181292462147
G1_like	1	5	-0.608916569644989	-0.629480973616391	0.0205644039714026
G1_like	2	3	0.234579380252447	0.341817848032609	-0.107238467780162
G1_like	4	5	0.857948916355503	0.998409064287199	-0.140460147931696
G1_like	1	4	-0.921773993615926	-0.667189936460076	-0.25458405715585
G1_like	1	6	0.579564250179304	0.895404565420523	-0.31584031524122
G1_like	3	6	0.564774611585673	0.988353654709293	-0.42357904312362
G1_like	3	5	-0.625327121733283	-0.16687132225834	-0.458455799474943
G1_like	3	4	-0.930585129887202	-0.218947214661772	-0.71163791522543
G1_like	2	6	-0.654723945987373	0.198972442817329	-0.853696388804702
G1_like	2	4	-0.503746013365099	0.727004335997555	-1.23075034936265
G1_like	2	5	-0.851341957153004	0.744311989413812	-1.59565394656682
G2M_like	2	5	0.954579225709341	0.67621496729877	0.278364258410571
G2M_like	1	5	0.99679107366434	0.738500609702177	0.258290463962163
G2M_like	3	4	0.994459360621311	0.875877880528922	0.118581480092389
G2M_like	3	5	0.998938443591582	0.881771027791298	0.117167415800284
G2M_like	1	4	0.994985742076493	0.881941976152999	0.113043765923494
G2M_like	4	5	0.997047104336153	0.885952206165867	0.111094898170286
G2M_like	2	3	0.950245500348248	0.851300744584913	0.0989447557633342
G2M_like	2	4	0.97417271680404	0.916824923114258	0.0573477936897815
G2M_like	1	3	0.99870526633772	0.947935523986382	0.0507697423513372
G2M_like	1	2	0.960560590168941	0.960900873094971	-0.000340282926029944
G2M_like	1	6	0.394236912566076	0.793480847561195	-0.399243934995118
G2M_like	4	6	0.32107514425986	0.729764882059739	-0.408689737799879
G2M_like	5	6	0.390697009784404	0.89288803253226	-0.502191022747856
G2M_like	2	6	0.126465985716394	0.629846337159164	-0.50338035144277
G2M_like	3	6	0.41754723299231	0.943379979127881	-0.525832746135571
S_like	1	5	0.970371590508467	-0.94120238048203	1.9115739709905
S_like	1	4	0.995672924147911	-0.851094832409523	1.84676775655743
S_like	3	4	0.982378306120153	-0.741811129028818	1.72418943514897
S_like	3	5	0.980060362476528	-0.385503299648382	1.36556366212491
S_like	2	3	0.730918094474858	-0.634222000571512	1.36514009504637
S_like	2	5	0.642120488570194	-0.285275685043268	0.927396173613462
S_like	2	4	0.832645436383164	0.194326927694446	0.638318508688719
S_like	4	6	0.022217294582974	-0.608743405388338	0.630960699971312
S_like	1	2	0.790368283888068	0.28128512534667	0.509083158541398
S_like	1	3	0.995303689206124	0.520761467945608	0.474542221260516
S_like	5	6	0.288556015206231	-0.174176780595811	0.462732795802041
S_like	2	6	-0.45251389147895	-0.826563362941531	0.374049471462581
S_like	4	5	0.958170249660294	0.881448148262756	0.0767221013975382
S_like	1	6	0.0492968530955552	0.27523498219337	-0.225938129097815
S_like	3	6	0.102385623795394	0.959377716929639	-0.856992093134245
