"symbol","source_hit"
"S_estimate_local_density_over_grid","src/density.cpp	        Rf_error(""S_estimate_local_density_over_grid(): 'verbose' must be TRUE/FALSE."");"
"S_estimate_local_density_over_grid","src/init.c	  {""S_estimate_local_density_over_grid"", (DL_FUNC) &S_estimate_local_density_over_grid, 6},"
"S_build_sparse_transition","src/diffusion_pseudotime_sparse_r.cpp	extern ""C"" SEXP S_build_sparse_transition("
"S_build_sparse_transition","src/init.c	  {""S_build_sparse_transition"", (DL_FUNC) &S_build_sparse_transition, 5},"
"S_compute_diffusion_pseudotime_sparse","src/diffusion_pseudotime_sparse_r.cpp	extern ""C"" SEXP S_compute_diffusion_pseudotime_sparse("
"S_compute_diffusion_pseudotime_sparse","src/init.c	  {""S_compute_diffusion_pseudotime_sparse"", (DL_FUNC) &S_compute_diffusion_pseudotime_sparse, 12},"
"S_compute_potential_pseudotime_sparse","src/diffusion_pseudotime_sparse_r.cpp	extern ""C"" SEXP S_compute_potential_pseudotime_sparse("
"S_compute_potential_pseudotime_sparse","src/init.c	  {""S_compute_potential_pseudotime_sparse"", (DL_FUNC) &S_compute_potential_pseudotime_sparse, 12},"
"S_angular_wasserstein_index","src/angular_wasserstein_index.cpp	    SEXP S_angular_wasserstein_index(SEXP s_X, SEXP s_Y, SEXP s_k);"
"S_angular_wasserstein_index","src/angular_wasserstein_index.cpp	 * .Call(""S_angular_wasserstein_index"", X, Y, as.integer(k))"
"S_angular_wasserstein_index","src/angular_wasserstein_index.cpp	SEXP S_angular_wasserstein_index(SEXP s_X, SEXP s_Y, SEXP s_k) {"
"S_angular_wasserstein_index","src/init.c	  {""S_angular_wasserstein_index"", (DL_FUNC) &S_angular_wasserstein_index, 3},"
"S_compute_extrema_hop_nbhds","src/gflow_cx_r.cpp		SEXP S_compute_extrema_hop_nbhds("
"S_compute_extrema_hop_nbhds","src/gflow_cx_r.cpp	SEXP S_compute_extrema_hop_nbhds("
"S_compute_extrema_hop_nbhds","src/init.c	  {""S_compute_extrema_hop_nbhds"", (DL_FUNC) &S_compute_extrema_hop_nbhds, 3},"
"S_find_graph_paths_within_radius","src/init.c	  {""S_find_graph_paths_within_radius"", (DL_FUNC) &S_find_graph_paths_within_radius, 4},"
"S_find_graph_paths_within_radius","src/set_wgraph.cpp	    SEXP S_find_graph_paths_within_radius("
"S_find_graph_paths_within_radius","src/set_wgraph.cpp	SEXP S_find_graph_paths_within_radius("
"S_construct_function_aware_graph","src/fn_graphs_r.cpp		SEXP S_construct_function_aware_graph("
"S_construct_function_aware_graph","src/fn_graphs_r.cpp	SEXP S_construct_function_aware_graph("
"S_construct_function_aware_graph","src/init.c	  {""S_construct_function_aware_graph"", (DL_FUNC) &S_construct_function_aware_graph, 14},"
"S_analyze_function_aware_weights","src/fn_graphs_r.cpp		SEXP S_analyze_function_aware_weights("
"S_analyze_function_aware_weights","src/fn_graphs_r.cpp	SEXP S_analyze_function_aware_weights("
"S_analyze_function_aware_weights","src/init.c	  {""S_analyze_function_aware_weights"", (DL_FUNC) &S_analyze_function_aware_weights, 12},"
"S_geodesic_core_endpoints","src/graph_core_endpoints_r.h	SEXP S_geodesic_core_endpoints(SEXP s_adj_list,"
"S_geodesic_core_endpoints","src/graph_core_endpoints.cpp	SEXP S_geodesic_core_endpoints(SEXP s_adj_list,"
"S_geodesic_core_endpoints","src/graph_core_endpoints.cpp	    validate_graph_inputs(adj_list, weight_list, ""S_geodesic_core_endpoints"");"
"S_geodesic_core_endpoints","src/graph_core_endpoints.cpp	        Rf_error(""S_geodesic_core_endpoints: core_quantile must be in (0, 1)."");"
"S_geodesic_core_endpoints","src/graph_core_endpoints.cpp	        Rf_error(""S_geodesic_core_endpoints: endpoint_quantile must be in [0, 1]."");"
"S_geodesic_core_endpoints","src/graph_core_endpoints.cpp	        ""S_geodesic_core_endpoints"""
"S_geodesic_core_endpoints","src/init.c	  {""S_geodesic_core_endpoints"", (DL_FUNC) &S_geodesic_core_endpoints, 9},"
"S_create_geodesic_iknn_graph","src/geodesic_iknn_graphs.cpp	extern ""C"" SEXP S_create_geodesic_iknn_graph(SEXP s_adj_list,"
"S_create_geodesic_iknn_graph","src/init.c	SEXP S_create_geodesic_iknn_graph(SEXP s_adj_list, SEXP s_weight_list, SEXP s_k);"
"S_create_geodesic_iknn_graph","src/init.c	  {""S_create_geodesic_iknn_graph"", (DL_FUNC) &S_create_geodesic_iknn_graph, 3},"
"S_compute_geodesic_stats","src/geodesic_stats_r.cpp	extern ""C"" SEXP S_compute_geodesic_stats("
"S_compute_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_geodesic_stats(): min_radius and max_radius cannot be NA."");"
"S_compute_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_geodesic_stats(): min_radius and max_radius must be > 0."");"
"S_compute_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_geodesic_stats(): max_radius must be >= min_radius."");"
"S_compute_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_geodesic_stats(): n_steps must be a positive integer."");"
"S_compute_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_geodesic_stats(): n_packing_vertices must be >= 0."");"
"S_compute_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_geodesic_stats(): max_packing_iterations must be >= 0."");"
"S_compute_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_geodesic_stats(): packing_precision must be > 0."");"
"S_compute_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_geodesic_stats(): verbose must be TRUE/FALSE."");"
"S_compute_geodesic_stats","src/init.c	  {""S_compute_geodesic_stats"", (DL_FUNC) &S_compute_geodesic_stats, 9},"
"S_compute_vertex_geodesic_stats","src/geodesic_stats_r.cpp	extern ""C"" SEXP S_compute_vertex_geodesic_stats("
"S_compute_vertex_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_vertex_geodesic_stats(): 'grid_vertex' cannot be NA."");"
"S_compute_vertex_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_vertex_geodesic_stats(): 'n_steps' must be a positive integer."");"
"S_compute_vertex_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_vertex_geodesic_stats(): 'min_radius' and 'max_radius' cannot be NA."");"
"S_compute_vertex_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_vertex_geodesic_stats(): 'min_radius' must be >= 0."");"
"S_compute_vertex_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_vertex_geodesic_stats(): 'max_radius' must be > 0."");"
"S_compute_vertex_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_vertex_geodesic_stats(): 'max_radius' must be >= 'min_radius'."");"
"S_compute_vertex_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_vertex_geodesic_stats(): 'n_packing_vertices' must be >= 0."");"
"S_compute_vertex_geodesic_stats","src/geodesic_stats_r.cpp	        Rf_error(""S_compute_vertex_geodesic_stats(): 'packing_precision' must be > 0."");"
