"symbol","source_hit"
"S_lcor_vector_matrix","src/lcor_r.cpp	extern ""C"" SEXP S_lcor_vector_matrix("
"S_detect_local_extrema","src/init.c	  {""S_detect_local_extrema"", (DL_FUNC) &S_detect_local_extrema, 6},"
"S_detect_local_extrema","src/local_extrema_r.cpp	    SEXP S_detect_local_extrema("
"S_detect_local_extrema","src/local_extrema_r.cpp	SEXP S_detect_local_extrema("
"S_prune_graph_local_geodesic","src/init.c	  {""S_prune_graph_local_geodesic"", (DL_FUNC) &S_prune_graph_local_geodesic, 6},"
"S_prune_graph_local_geodesic","src/local_geodesic_pruning_r.h	SEXP S_prune_graph_local_geodesic(SEXP s_X,"
"S_prune_graph_local_geodesic","src/local_geodesic_pruning.cpp	extern ""C"" SEXP S_prune_graph_local_geodesic(SEXP s_X,"
"S_prune_graph_global_geodesic_ratio","src/init.c	  {""S_prune_graph_global_geodesic_ratio"", (DL_FUNC) &S_prune_graph_global_geodesic_ratio, 5},"
"S_prune_graph_global_geodesic_ratio","src/local_geodesic_pruning_r.h	SEXP S_prune_graph_global_geodesic_ratio(SEXP s_adj_list,"
"S_prune_graph_global_geodesic_ratio","src/local_geodesic_pruning.cpp	extern ""C"" SEXP S_prune_graph_global_geodesic_ratio(SEXP s_adj_list,"
"S_lslope_gradient_instrumented","src/init.c	  {""S_lslope_gradient_instrumented"", (DL_FUNC) &S_lslope_gradient_instrumented, 11},"
"S_lslope_gradient_instrumented","src/lslope_r.cpp	extern ""C"" SEXP S_lslope_gradient_instrumented("
"S_lslope_gradient","src/init.c	  {""S_lslope_gradient_instrumented"", (DL_FUNC) &S_lslope_gradient_instrumented, 11},"
"S_lslope_gradient","src/init.c	  {""S_lslope_gradient"", (DL_FUNC) &S_lslope_gradient, 11},"
"S_lslope_gradient","src/lslope_r.cpp	extern ""C"" SEXP S_lslope_gradient_instrumented("
"S_lslope_gradient","src/lslope_r.cpp	extern ""C"" SEXP S_lslope_gradient("
"S_lslope_vector_matrix","src/init.c	  {""S_lslope_vector_matrix"", (DL_FUNC) &S_lslope_vector_matrix, 11},"
"S_lslope_vector_matrix","src/lslope_vector_matrix_r.cpp	extern ""C"" SEXP S_lslope_vector_matrix("
"S_lslope_neighborhood","src/init.c	  {""S_lslope_neighborhood"", (DL_FUNC) &S_lslope_neighborhood, 8},"
"S_lslope_neighborhood","src/lslope_r.cpp	extern ""C"" SEXP S_lslope_neighborhood("
"S_construct_madag","src/init.c	  {""S_construct_madag"", (DL_FUNC) &S_construct_madag, 6},"
"S_construct_madag","src/madag_r.cpp	SEXP S_construct_madag("
"S_enumerate_cell_trajectories","src/init.c	  {""S_enumerate_cell_trajectories"", (DL_FUNC) &S_enumerate_cell_trajectories, 4},"
"S_enumerate_cell_trajectories","src/madag_r.cpp	SEXP S_enumerate_cell_trajectories("
"S_sample_cell_trajectories","src/init.c	  {""S_sample_cell_trajectories"", (DL_FUNC) &S_sample_cell_trajectories, 5},"
"S_sample_cell_trajectories","src/madag_r.cpp	SEXP S_sample_cell_trajectories("
"S_trajectory_similarity_matrix","src/init.c	  {""S_trajectory_similarity_matrix"", (DL_FUNC) &S_trajectory_similarity_matrix, 2},"
"S_trajectory_similarity_matrix","src/madag_r.cpp	SEXP S_trajectory_similarity_matrix("
"S_identify_bottlenecks","src/init.c	  {""S_identify_bottlenecks"", (DL_FUNC) &S_identify_bottlenecks, 3},"
"S_identify_bottlenecks","src/madag_r.cpp	SEXP S_identify_bottlenecks("
"S_detect_major_arms","src/graph_core_endpoints_r.h	SEXP S_detect_major_arms(SEXP s_adj_list,"
"S_detect_major_arms","src/graph_core_endpoints.cpp	SEXP S_detect_major_arms(SEXP s_adj_list,"
"S_detect_major_arms","src/graph_core_endpoints.cpp	    validate_graph_inputs(adj_list, weight_list, ""S_detect_major_arms"");"
"S_detect_major_arms","src/graph_core_endpoints.cpp	        Rf_error(""S_detect_major_arms: core_quantile must be in (0, 1)."");"
"S_detect_major_arms","src/graph_core_endpoints.cpp	        Rf_error(""S_detect_major_arms: min_persistence_quantile must be in [0, 1]."");"
"S_detect_major_arms","src/graph_core_endpoints.cpp	        Rf_error(""S_detect_major_arms: min_length_quantile must be in [0, 1]."");"
"S_detect_major_arms","src/graph_core_endpoints.cpp	        ""S_detect_major_arms"""
"S_detect_major_arms","src/init.c	  {""S_detect_major_arms"", (DL_FUNC) &S_detect_major_arms, 11},"
"S_mean_shift_data_smoother","src/init.c	  {""S_mean_shift_data_smoother"", (DL_FUNC) &S_mean_shift_data_smoother, 11},"
"S_mean_shift_data_smoother","src/init.c	  {""S_mean_shift_data_smoother_with_grad_field_averaging"", (DL_FUNC) &S_mean_shift_data_smoother_with_grad_field_averaging, 8},"
"S_mean_shift_data_smoother","src/init.c	  {""S_mean_shift_data_smoother_adaptive"", (DL_FUNC) &S_mean_shift_data_smoother_adaptive, 8},"
"S_mean_shift_data_smoother","src/mean_shift_smoother.cpp	    SEXP S_mean_shift_data_smoother(SEXP s_X,"
"S_mean_shift_data_smoother","src/mean_shift_smoother.cpp	    SEXP S_mean_shift_data_smoother_with_grad_field_averaging(SEXP s_X,"
"S_mean_shift_data_smoother","src/mean_shift_smoother.cpp	    SEXP S_mean_shift_data_smoother_adaptive(SEXP s_X,"
"S_mean_shift_data_smoother","src/mean_shift_smoother.cpp	 * result <- .Call(""S_mean_shift_data_smoother_with_grad_field_averaging"","
"S_mean_shift_data_smoother","src/mean_shift_smoother.cpp	SEXP S_mean_shift_data_smoother_with_grad_field_averaging(SEXP s_X,"
"S_mean_shift_data_smoother","src/mean_shift_smoother.cpp	 * result <- .Call(""S_mean_shift_data_smoother_adaptive"","
"S_mean_shift_data_smoother","src/mean_shift_smoother.cpp	SEXP S_mean_shift_data_smoother_adaptive(SEXP s_X,"
"S_mean_shift_data_smoother","src/mean_shift_smoother.cpp	SEXP S_mean_shift_data_smoother(SEXP s_X,"
"S_mean_shift_data_smoother","src/SEXP_cpp_conversion_utils.cpp	 * internally by the S_mean_shift_data_smoother function to prepare its return value for R."
"S_mean_shift_data_smoother_with_grad_field_averaging","src/init.c	  {""S_mean_shift_data_smoother_with_grad_field_averaging"", (DL_FUNC) &S_mean_shift_data_smoother_with_grad_field_averaging, 8},"
"S_mean_shift_data_smoother_with_grad_field_averaging","src/mean_shift_smoother.cpp	    SEXP S_mean_shift_data_smoother_with_grad_field_averaging(SEXP s_X,"
"S_mean_shift_data_smoother_with_grad_field_averaging","src/mean_shift_smoother.cpp	 * result <- .Call(""S_mean_shift_data_smoother_with_grad_field_averaging"","
"S_mean_shift_data_smoother_with_grad_field_averaging","src/mean_shift_smoother.cpp	SEXP S_mean_shift_data_smoother_with_grad_field_averaging(SEXP s_X,"
"S_mean_shift_data_smoother_adaptive","src/init.c	  {""S_mean_shift_data_smoother_adaptive"", (DL_FUNC) &S_mean_shift_data_smoother_adaptive, 8},"
"S_mean_shift_data_smoother_adaptive","src/mean_shift_smoother.cpp	    SEXP S_mean_shift_data_smoother_adaptive(SEXP s_X,"
"S_mean_shift_data_smoother_adaptive","src/mean_shift_smoother.cpp	 * result <- .Call(""S_mean_shift_data_smoother_adaptive"","
"S_mean_shift_data_smoother_adaptive","src/mean_shift_smoother.cpp	SEXP S_mean_shift_data_smoother_adaptive(SEXP s_X,"
"S_metric_graph_lowpass_operator","src/init.c	  {""S_metric_graph_lowpass_operator"", (DL_FUNC) &S_metric_graph_lowpass_operator, 10},"
"S_metric_graph_lowpass_operator","src/metric_graph_lowpass_r.h	SEXP S_metric_graph_lowpass_operator("
"S_metric_graph_lowpass_operator","src/metric_graph_lowpass.cpp	extern ""C"" SEXP S_metric_graph_lowpass_operator("
"S_metric_graph_lowpass_spectrum","src/init.c	  {""S_metric_graph_lowpass_spectrum"", (DL_FUNC) &S_metric_graph_lowpass_spectrum, 16},"
"S_metric_graph_lowpass_spectrum","src/metric_graph_lowpass_r.h	SEXP S_metric_graph_lowpass_spectrum("
"S_metric_graph_lowpass_spectrum","src/metric_graph_lowpass.cpp	extern ""C"" SEXP S_metric_graph_lowpass_spectrum("
"S_create_mknn_graph","src/init.c	  {""S_create_mknn_graph"", (DL_FUNC) &S_create_mknn_graph, 2},"
"S_create_mknn_graph","src/init.c	  {""S_create_mknn_graphs"", (DL_FUNC) &S_create_mknn_graphs, 7},"
"S_create_mknn_graph","src/mknn_graphs.cpp	    SEXP S_create_mknn_graph(SEXP RX, SEXP Rk);"
"S_create_mknn_graph","src/mknn_graphs.cpp	    SEXP S_create_mknn_graphs("
"S_create_mknn_graph","src/mknn_graphs.cpp	SEXP S_create_mknn_graphs("
"S_create_mknn_graph","src/mknn_graphs.cpp	SEXP S_create_mknn_graph(SEXP RX, SEXP Rk) {"
"S_create_mknn_graphs","src/init.c	  {""S_create_mknn_graphs"", (DL_FUNC) &S_create_mknn_graphs, 7},"
"S_create_mknn_graphs","src/mknn_graphs.cpp	    SEXP S_create_mknn_graphs("
"S_create_mknn_graphs","src/mknn_graphs.cpp	SEXP S_create_mknn_graphs("
"S_create_mst_completion_graph","src/init.c	  {""S_create_mst_completion_graph"", (DL_FUNC) &S_create_mst_completion_graph, 3},"
"S_create_mst_completion_graph","src/mst_completion_graphs_r.cpp	 *   res <- .Call(""S_create_mst_completion_graph"", X, 0.9, TRUE)"
"S_create_mst_completion_graph","src/mst_completion_graphs_r.cpp	extern ""C"" SEXP S_create_mst_completion_graph("
"S_create_nerve_complex","src/init.c	  {""S_create_nerve_complex"", (DL_FUNC) &S_create_nerve_complex, 3},"
"S_create_nerve_complex","src/nerve_cx_r.cpp		SEXP S_create_nerve_complex(SEXP s_X, SEXP s_k, SEXP s_max_dim);"
"S_create_nerve_complex","src/nerve_cx_r.cpp	SEXP S_create_nerve_complex(SEXP s_X, SEXP s_k, SEXP s_max_dim) {"
"S_set_function_values","src/init.c	  {""S_set_function_values"", (DL_FUNC) &S_set_function_values, 2},"
"S_set_function_values","src/nerve_cx_r.cpp		SEXP S_set_function_values(SEXP s_complex_ptr, SEXP s_values);"
"S_set_function_values","src/nerve_cx_r.cpp	SEXP S_set_function_values(SEXP s_complex_ptr, SEXP s_values) {"
"S_set_weight_scheme","src/init.c	  {""S_set_weight_scheme"", (DL_FUNC) &S_set_weight_scheme, 3},"
"S_set_weight_scheme","src/nerve_cx_r.cpp		SEXP S_set_weight_scheme(SEXP s_complex_ptr, SEXP s_weight_type, SEXP s_params);"
"S_set_weight_scheme","src/nerve_cx_r.cpp	SEXP S_set_weight_scheme(SEXP s_complex_ptr, SEXP s_weight_type, SEXP s_params) {"
"S_solve_full_laplacian","src/init.c	  {""S_solve_full_laplacian"", (DL_FUNC) &S_solve_full_laplacian, 3},"
"S_solve_full_laplacian","src/nerve_cx_r.cpp		SEXP S_solve_full_laplacian(SEXP s_complex_ptr, SEXP s_lambda, SEXP s_dim_weights);"
"S_solve_full_laplacian","src/nerve_cx_r.cpp	SEXP S_solve_full_laplacian(SEXP s_complex_ptr, SEXP s_lambda, SEXP s_dim_weights) {"
"S_get_simplex_counts","src/init.c	  {""S_get_simplex_counts"", (DL_FUNC) &S_get_simplex_counts, 1},"
"S_get_simplex_counts","src/nerve_cx_r.cpp		SEXP S_get_simplex_counts(SEXP s_complex_ptr);"
"S_get_simplex_counts","src/nerve_cx_r.cpp	SEXP S_get_simplex_counts(SEXP s_complex_ptr) {"
"S_extract_skeleton_graph","src/init.c	  {""S_extract_skeleton_graph"", (DL_FUNC) &S_extract_skeleton_graph, 1},"
"S_extract_skeleton_graph","src/nerve_cx_r.cpp	    SEXP S_extract_skeleton_graph(SEXP s_complex_ptr);"
"S_extract_skeleton_graph","src/nerve_cx_r.cpp		SEXP S_extract_skeleton_graph(SEXP s_complex_ptr);"
"S_extract_skeleton_graph","src/nerve_cx_r.cpp	SEXP S_extract_skeleton_graph(SEXP s_complex_ptr) {"
"S_parameterize_circular_graph","src/init.c	  {""S_parameterize_circular_graph"", (DL_FUNC) &S_parameterize_circular_graph, 3},"
"S_parameterize_circular_graph","src/parameterize_circular_graph_r.cpp	    SEXP S_parameterize_circular_graph("
"S_parameterize_circular_graph","src/parameterize_circular_graph_r.cpp	SEXP S_parameterize_circular_graph("
"S_partition_graph","src/init.c	  {""S_partition_graph"",        (DL_FUNC) &S_partition_graph, 4},"
"S_partition_graph","src/partition_graph_r.cpp	extern ""C"" SEXP S_partition_graph(SEXP s_adj_list, SEXP s_weight_list,"
"S_create_path_graph_plus","src/init.c	  {""S_create_path_graph_plus"", (DL_FUNC) &S_create_path_graph_plus, 3},"
"S_create_path_graph_plus","src/path_graphs.cpp	    SEXP S_create_path_graph_plus(SEXP s_adj_list,"
"S_create_path_graph_plus","src/path_graphs.cpp	SEXP S_create_path_graph_plus(SEXP s_adj_list,"
"S_create_path_graph_plus","src/path_graphs.cpp	 * It extends the functionality of S_create_path_graph_plus by adding vertex path information."
"S_create_path_graph_plus","src/path_graphs.cpp	 * @see S_create_path_graph_plus"
"S_create_path_graph_plus","src/path_graphs.cpp	        SEXP base_components = PROTECT(S_create_path_graph_plus(        // [P2]"
"S_create_path_graph_series","src/init.c	  {""S_create_path_graph_series"", (DL_FUNC) &S_create_path_graph_series, 3},"
"S_create_path_graph_series","src/path_graphs.cpp	    SEXP S_create_path_graph_series(SEXP s_adj_list,"
"S_create_path_graph_series","src/path_graphs.cpp	SEXP S_create_path_graph_series(SEXP s_adj_list,"
"S_create_path_graph_plm","src/init.c	  {""S_create_path_graph_plm"", (DL_FUNC) &S_create_path_graph_plm, 3},"
"S_create_path_graph_plm","src/path_graphs.cpp	    SEXP S_create_path_graph_plm(SEXP s_adj_list,"
"S_create_path_graph_plm","src/path_graphs.cpp	SEXP S_create_path_graph_plm(SEXP s_adj_list,"
"S_create_path_graph_plm","src/path_graphs.cpp	 * This function takes the R list output from S_create_path_graph_plm and reconstructs"
"S_create_path_graph_plm","src/path_graphs.cpp	 * @see S_create_path_graph_plm"
"S_phate_build_kernel","src/init.c	  {""S_phate_build_kernel"", (DL_FUNC) &S_phate_build_kernel, 7},"
"S_phate_build_kernel","src/phate_core_r.cpp	extern ""C"" SEXP S_phate_build_kernel(SEXP s_D,"
"S_phate_build_kernel","src/phate_core_r.h	SEXP S_phate_build_kernel(SEXP s_D,"
"S_adaptive_radius_edges_ann","src/adaptive_radius_graph_ann.cpp	extern ""C"" SEXP S_adaptive_radius_edges_ann(SEXP s_X,"
"S_adaptive_radius_edges_ann","src/init.c	SEXP S_adaptive_radius_edges_ann(SEXP s_X, SEXP s_k_scale, SEXP s_radius_factor,"
"S_adaptive_radius_edges_ann","src/init.c	  {""S_adaptive_radius_edges_ann"", (DL_FUNC) &S_adaptive_radius_edges_ann, 4},"
"S_rlaplace","src/init.c	  {""S_rlaplace"", (DL_FUNC) &S_rlaplace, 4},"
"S_rlaplace","src/random_sampling.cpp	    SEXP S_rlaplace(SEXP R_n, SEXP R_location, SEXP R_scale, SEXP R_seed);"
"S_rlaplace","src/random_sampling.cpp	 * result <- .Call(""S_rlaplace"", 1000L, 0.0, 1.0, 12345L)  # With specific seed"
"S_rlaplace","src/random_sampling.cpp	 * result <- .Call(""S_rlaplace"", 1000L, 0.0, 1.0, NULL)    # With random seed"
"S_rlaplace","src/random_sampling.cpp	SEXP S_rlaplace(SEXP R_n, SEXP R_location, SEXP R_scale, SEXP R_seed) {"
"_gflow_rcpp_compute_graph_endpoint_scores","src/init.c	SEXP _gflow_rcpp_compute_graph_endpoint_scores(SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP);"
"_gflow_rcpp_compute_graph_endpoint_scores","src/init.c	  {""_gflow_rcpp_compute_graph_endpoint_scores"", (DL_FUNC) &_gflow_rcpp_compute_graph_endpoint_scores, 9},"
"_gflow_rcpp_compute_graph_endpoint_scores","src/RcppExports.cpp	RcppExport SEXP _gflow_rcpp_compute_graph_endpoint_scores(SEXP adj_listSEXP, SEXP weight_listSEXP, SEXP layout_3dSEXP, SEXP scalesSEXP, SEXP neighborhoodSEXP, SEXP qSEXP, SEXP neighbor_weightingSEXP, SEXP gaussian_sigmaSEXP, SEXP min_neighborhood_sizeSEXP) {"
"_gflow_rcpp_graph_multi_source_support_by_scale","src/init.c	SEXP _gflow_rcpp_graph_multi_source_support_by_scale(SEXP, SEXP, SEXP, SEXP);"
"_gflow_rcpp_graph_multi_source_support_by_scale","src/init.c	  {""_gflow_rcpp_graph_multi_source_support_by_scale"", (DL_FUNC) &_gflow_rcpp_graph_multi_source_support_by_scale, 4},"
"_gflow_rcpp_graph_multi_source_support_by_scale","src/RcppExports.cpp	RcppExport SEXP _gflow_rcpp_graph_multi_source_support_by_scale(SEXP adj_listSEXP, SEXP weight_listSEXP, SEXP local_max_by_scaleSEXP, SEXP radiusSEXP) {"
"_gflow_rcpp_graph_greedy_maxima_suppression_by_scale","src/init.c	SEXP _gflow_rcpp_graph_greedy_maxima_suppression_by_scale(SEXP, SEXP, SEXP, SEXP, SEXP);"
"_gflow_rcpp_graph_greedy_maxima_suppression_by_scale","src/init.c	  {""_gflow_rcpp_graph_greedy_maxima_suppression_by_scale"", (DL_FUNC) &_gflow_rcpp_graph_greedy_maxima_suppression_by_scale, 5},"
"_gflow_rcpp_graph_greedy_maxima_suppression_by_scale","src/RcppExports.cpp	RcppExport SEXP _gflow_rcpp_graph_greedy_maxima_suppression_by_scale(SEXP adj_listSEXP, SEXP weight_listSEXP, SEXP local_max_by_scaleSEXP, SEXP score_by_scaleSEXP, SEXP radiusSEXP) {"
"_gflow_Rcpp_graph_kernel_smoother","src/init.c	SEXP _gflow_Rcpp_graph_kernel_smoother(SEXP, SEXP, SEXP, SEXP, SEXP);"
"_gflow_Rcpp_graph_kernel_smoother","src/init.c	  {""_gflow_Rcpp_graph_kernel_smoother"", (DL_FUNC) &_gflow_Rcpp_graph_kernel_smoother, 5},"
"_gflow_Rcpp_graph_kernel_smoother","src/RcppExports.cpp	RcppExport SEXP _gflow_Rcpp_graph_kernel_smoother(SEXP adjSEXP, SEXP wSEXP, SEXP ySEXP, SEXP bandwidthSEXP, SEXP with_detailsSEXP) {"
"_gflow_rcpp_kernel_local_polynomial_cv_coordinates","src/init.c	SEXP _gflow_rcpp_kernel_local_polynomial_cv_coordinates(SEXP, SEXP, SEXP, SEXP, SEXP, SEXP);"
"_gflow_rcpp_kernel_local_polynomial_cv_coordinates","src/init.c	  {""_gflow_rcpp_kernel_local_polynomial_cv_coordinates"", (DL_FUNC) &_gflow_rcpp_kernel_local_polynomial_cv_coordinates, 6},"
"_gflow_rcpp_kernel_local_polynomial_cv_coordinates","src/RcppExports.cpp	RcppExport SEXP _gflow_rcpp_kernel_local_polynomial_cv_coordinates(SEXP XSEXP, SEXP ySEXP, SEXP foldidSEXP, SEXP support_sizeSEXP, SEXP degreeSEXP, SEXP kernelSEXP) {"
"_gflow_rcpp_kernel_local_polynomial_predict_coordinates","src/init.c	SEXP _gflow_rcpp_kernel_local_polynomial_predict_coordinates(SEXP, SEXP, SEXP, SEXP, SEXP, SEXP);"
"_gflow_rcpp_kernel_local_polynomial_predict_coordinates","src/init.c	  {""_gflow_rcpp_kernel_local_polynomial_predict_coordinates"", (DL_FUNC) &_gflow_rcpp_kernel_local_polynomial_predict_coordinates, 6},"
"_gflow_rcpp_kernel_local_polynomial_predict_coordinates","src/RcppExports.cpp	RcppExport SEXP _gflow_rcpp_kernel_local_polynomial_predict_coordinates(SEXP X_trainSEXP, SEXP y_trainSEXP, SEXP X_evalSEXP, SEXP support_sizeSEXP, SEXP degreeSEXP, SEXP kernelSEXP) {"
"_gflow_rcpp_local_pca_chart","src/init.c	SEXP _gflow_rcpp_local_pca_chart(SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP);"
"_gflow_rcpp_local_pca_chart","src/init.c	  {""_gflow_rcpp_local_pca_chart"", (DL_FUNC) &_gflow_rcpp_local_pca_chart, 9},"
"_gflow_rcpp_local_pca_chart","src/RcppExports.cpp	RcppExport SEXP _gflow_rcpp_local_pca_chart(SEXP X_supportSEXP, SEXP centerSEXP, SEXP chart_dimSEXP, SEXP center_modeSEXP, SEXP dim_ruleSEXP, SEXP eigen_toleranceSEXP, SEXP weightsSEXP, SEXP rebase_to_anchorSEXP, SEXP orient_basisSEXP) {"
"_gflow_rcpp_adaptive_mean_shift_gfa","src/init.c	SEXP _gflow_rcpp_adaptive_mean_shift_gfa(SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP);"
"_gflow_rcpp_adaptive_mean_shift_gfa","src/init.c	  {""_gflow_rcpp_adaptive_mean_shift_gfa"", (DL_FUNC) &_gflow_rcpp_adaptive_mean_shift_gfa, 11},"
"_gflow_rcpp_adaptive_mean_shift_gfa","src/RcppExports.cpp	RcppExport SEXP _gflow_rcpp_adaptive_mean_shift_gfa(SEXP XSEXP, SEXP kSEXP, SEXP density_kSEXP, SEXP n_stepsSEXP, SEXP initial_step_sizeSEXP, SEXP ikernelSEXP, SEXP dist_normalization_factorSEXP, SEXP average_direction_onlySEXP, SEXP momentumSEXP, SEXP increase_factorSEXP, SEXP decrease_factorSEXP) {"
"_gflow_rcpp_knn_adaptive_mean_shift_gfa","src/init.c	SEXP _gflow_rcpp_knn_adaptive_mean_shift_gfa(SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP);"
"_gflow_rcpp_knn_adaptive_mean_shift_gfa","src/init.c	  {""_gflow_rcpp_knn_adaptive_mean_shift_gfa"", (DL_FUNC) &_gflow_rcpp_knn_adaptive_mean_shift_gfa, 8},"
"_gflow_rcpp_knn_adaptive_mean_shift_gfa","src/RcppExports.cpp	RcppExport SEXP _gflow_rcpp_knn_adaptive_mean_shift_gfa(SEXP XSEXP, SEXP kSEXP, SEXP density_kSEXP, SEXP n_stepsSEXP, SEXP step_sizeSEXP, SEXP ikernelSEXP, SEXP dist_normalization_factorSEXP, SEXP average_direction_onlySEXP) {"
"_gflow_rcpp_quadform_delaunay_edges_3d","src/init.c	SEXP _gflow_rcpp_quadform_delaunay_edges_3d(SEXP, SEXP);"
"_gflow_rcpp_quadform_delaunay_edges_3d","src/init.c	  {""_gflow_rcpp_quadform_delaunay_edges_3d"", (DL_FUNC) &_gflow_rcpp_quadform_delaunay_edges_3d, 2},"
"_gflow_rcpp_quadform_delaunay_edges_3d","src/RcppExports.cpp	RcppExport SEXP _gflow_rcpp_quadform_delaunay_edges_3d(SEXP XSEXP, SEXP qhull_optionsSEXP) {"
"_gflow_rcpp_quadform_edge_lengths","src/init.c	SEXP _gflow_rcpp_quadform_edge_lengths(SEXP, SEXP, SEXP, SEXP);"
"_gflow_rcpp_quadform_edge_lengths","src/init.c	  {""_gflow_rcpp_quadform_edge_lengths"", (DL_FUNC) &_gflow_rcpp_quadform_edge_lengths, 4},"
"_gflow_rcpp_quadform_edge_lengths","src/RcppExports.cpp	RcppExport SEXP _gflow_rcpp_quadform_edge_lengths(SEXP USEXP, SEXP VSEXP, SEXP index_kSEXP, SEXP coefficientsSEXP) {"
"_gflow_rcpp_quadform_grid_pair_distances","src/init.c	SEXP _gflow_rcpp_quadform_grid_pair_distances(SEXP, SEXP, SEXP, SEXP, SEXP, SEXP);"
"_gflow_rcpp_quadform_grid_pair_distances","src/init.c	  {""_gflow_rcpp_quadform_grid_pair_distances"", (DL_FUNC) &_gflow_rcpp_quadform_grid_pair_distances, 6},"
"_gflow_rcpp_quadform_grid_pair_distances","src/RcppExports.cpp	RcppExport SEXP _gflow_rcpp_quadform_grid_pair_distances(SEXP index_kSEXP, SEXP coefficientsSEXP, SEXP domain_shapeSEXP, SEXP domain_radiusSEXP, SEXP grid_sizeSEXP, SEXP pair_pointsSEXP) {"
"_gflow_rcpp_quadform_grid_geodesic_distances","src/init.c	SEXP _gflow_rcpp_quadform_grid_geodesic_distances(SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP, SEXP);"
"_gflow_rcpp_quadform_grid_geodesic_distances","src/init.c	  {""_gflow_rcpp_quadform_grid_geodesic_distances"", (DL_FUNC) &_gflow_rcpp_quadform_grid_geodesic_distances, 11},"
"_gflow_rcpp_quadform_grid_geodesic_distances","src/RcppExports.cpp	RcppExport SEXP _gflow_rcpp_quadform_grid_geodesic_distances(SEXP XSEXP, SEXP index_kSEXP, SEXP coefficientsSEXP, SEXP domain_shapeSEXP, SEXP domain_radiusSEXP, SEXP grid_sizeSEXP, SEXP sample_connection_kSEXP, SEXP with_oracleSEXP, SEXP oracle_tube_radiusSEXP, SEXP oracle_tube_kSEXP, SEXP return_oracle_pathsSEXP) {"
"S_compute_posterior_summary","src/riem_dcx_posterior_r.cpp	extern ""C"" SEXP S_compute_posterior_summary("
"S_fit_rdgraph_regression","src/init.c	  {""S_fit_rdgraph_regression"", (DL_FUNC) &S_fit_rdgraph_regression, 42},"
"S_fit_rdgraph_regression","src/riem_dcx_regression_r.cpp	extern ""C"" SEXP S_fit_rdgraph_regression("
"S_compute_hop_extremp_radii_batch","src/init.c	  {""S_compute_hop_extremp_radii_batch"", (DL_FUNC) &S_compute_hop_extremp_radii_batch, 8},"
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	extern ""C"" SEXP S_compute_hop_extremp_radii_batch("
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	        Rf_error(""S_compute_hop_extremp_radii_batch: adj_list must be a list"");"
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	        Rf_error(""S_compute_hop_extremp_radii_batch: edge_densities must be numeric"");"
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	        Rf_error(""S_compute_hop_extremp_radii_batch: vertex_densities must be numeric"");"
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	        Rf_error(""S_compute_hop_extremp_radii_batch: candidates must be an integer vector"");"
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	        Rf_error(""S_compute_hop_extremp_radii_batch: y must be a numeric vector"");"
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	        Rf_error(""S_compute_hop_extremp_radii_batch: p_threshold must be a numeric scalar"");"
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	        Rf_error(""S_compute_hop_extremp_radii_batch: detect_maxima must be a logical scalar"");"
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	        Rf_error(""S_compute_hop_extremp_radii_batch: max_hop must be an integer scalar"");"
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	        Rf_error(""S_compute_hop_extremp_radii_batch: length of y (%d) must match number of vertices (%zu)"","
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	        Rf_error(""S_compute_hop_extremp_radii_batch: length of vertex_densities (%d) must match number of vertices (%zu)"","
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	        Rf_error(""S_compute_hop_extremp_radii_batch: p_threshold must be in (0,1], got %.3f"","
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	        Rf_error(""S_compute_hop_extremp_radii_batch: max_hop must be positive, got %d"","
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	            Rf_error(""S_compute_hop_extremp_radii_batch: candidate index %d out of bounds [1, %zu]"","
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	            Rf_error(""S_compute_hop_extremp_radii_batch: adj_list[[%zu]] must be an integer vector"","
"S_compute_hop_extremp_radii_batch","src/riem_dcx.cpp	                Rf_error(""S_compute_hop_extremp_radii_batch: neighbor index %d out of bounds"","
"S_build_se_tree","src/se_tree_r.cpp	extern ""C"" SEXP S_build_se_tree("
"S_create_sknn_graph","src/init.c	  {""S_create_sknn_graph"", (DL_FUNC) &S_create_sknn_graph, 16},"
