"file","symbol","raw"
"R/fn_graphs.R","S_analyze_function_aware_weights","  result <- .Call(""S_analyze_function_aware_weights"",                   adj.list.0based,                   weight.list,                   function.values,                   as.integer(weight.types),"
"R/geodesic_core_endpoints.R","S_geodesic_core_endpoints","    res <- .Call(         ""S_geodesic_core_endpoints"",         adj.list.0,         weight.list,         as.double(core.quantile),"
"R/geodesic_iknn_graphs.R","S_create_geodesic_iknn_graph","    result <- .Call(         ""S_create_geodesic_iknn_graph"",         graph$adj_list,         graph$weight_list,         as.integer(k),"
"R/geodesic_stats.R","S_compute_geodesic_stats","    result <- .Call(""S_compute_geodesic_stats"",                    adj.list.0based,                    weight.list,                    as.double(min.radius),                    as.double(max.radius),"
"R/geodesic_stats.R","S_compute_vertex_geodesic_stats","    result <- .Call(""S_compute_vertex_geodesic_stats"",                     adj.list.0based,                     weight.list,                     grid.vertex.0based,                     as.double(min.radius),"
"R/gfassoc_utils.R","S_gfassoc_membership","    result <- .Call(         S_gfassoc_membership,         basins$lmax_basins,         basins$lmin_basins,         as.integer(basins$n_vertices),"
"R/gfassoc_utils.R","S_gfassoc_polarity","    result <- .Call(         S_gfassoc_polarity,         as.numeric(y),         membership,         polarity.scale,"
"R/gfassoc_utils.R","S_gfassoc_overlap","    result <- .Call(         S_gfassoc_overlap,         y.membership,         z.membership,         if (is.null(vertex.mass)) NULL else as.numeric(vertex.mass),"
"R/gfassoc_utils.R","S_gfassoc_deviation","    result <- .Call(         S_gfassoc_deviation,         overlap.matrix,         PACKAGE = ""gflow""     )"
"R/gfassoc_utils.R","S_gfassoc_basin_character","    result <- .Call(         S_gfassoc_basin_character,         y.membership,         z.membership,         pol.y,"
"R/gfc_flow.R","S_compute_gfc_flow","    result <- .Call(         S_compute_gfc_flow,         adj.list.0based,         weight.list,         as.double(y),"
"R/gfc_flow.R","S_compute_gfc_flow_matrix","    results <- .Call(         S_compute_gfc_flow_matrix,         adj.list.0based,         weight.list,         Y,"
"R/gfcor.R","S_gfcor","    result <- .Call(         S_gfcor,         as.numeric(y.hat),         as.numeric(z.hat),         y.basins$lmax_basins,"
"R/gflow_basins.R","S_find_gflow_basins","    result <- .Call(""S_find_gflow_basins"",                     adj.list.0based,                     weight.list,                     as.numeric(y),                     min.basin.size,"
"R/gflow_basins.R","S_find_local_extrema","    result <- .Call(""S_find_local_extrema"",                     adj.list.0based,                     weight.list,                     as.numeric(y),                     min.basin.size)"
"R/gflow_cx.R","S_create_gflow_cx","    result <- .Call(         S_create_gflow_cx,         adj.list.0based,         weight.list,         as.numeric(y),"
