"function_name","file"
"apply.spectral.smoothing","R/compat_helpers.R"
"compute.diameter","R/compat_helpers.R"
"compute.subgraph.density","R/compat_helpers.R"
"determine.optimal.k","R/compat_helpers.R"
"find.path.in.subgraph","R/compat_helpers.R"
"generate.eta.grid","R/compat_helpers.R"
"prepare.basin.da.inputs","R/compat_helpers.R"
"run.da.edger","R/compat_helpers.R"
"summarize.clinical","R/compat_helpers.R"
".add.graph.lifecycle.branches","R/component_mst_connectivity.R"
".augment.graph.with.component.mst","R/component_mst_connectivity.R"
".best.component.bridges","R/component_mst_connectivity.R"
".component.kruskal","R/component_mst_connectivity.R"
".euclidean.distance","R/component_mst_connectivity.R"
".full.euclidean.mst.edges","R/component_mst_connectivity.R"
".graph.components","R/component_mst_connectivity.R"
".graph.edge.table","R/component_mst_connectivity.R"
".graph.from.edge.table","R/component_mst_connectivity.R"
".normalize.bridge.controls","R/component_mst_connectivity.R"
".repair.graph.lifecycle.stage","R/component_mst_connectivity.R"
"arcsin.sqrt.transform","R/compositional_data_utils.R"
"clr.transform","R/compositional_data_utils.R"
"clr.transform.matrix","R/compositional_data_utils.R"
"compute.basins.of.attraction.rtcb","R/compute_basins_of_attraction_rtcb.R"
"basin","R/compute_basins_of_attraction.R"
"basin.basins_of_attraction","R/compute_basins_of_attraction.R"
"basins","R/compute_basins_of_attraction.R"
"basins.basins_of_attraction","R/compute_basins_of_attraction.R"
"compute_mean_hopk_distance","R/compute_basins_of_attraction.R"
"compute.basins.of.attraction","R/compute_basins_of_attraction.R"
"draw.basin","R/compute_basins_of_attraction.R"
"lmax","R/compute_basins_of_attraction.R"
"lmax.basin_summary","R/compute_basins_of_attraction.R"
"lmin","R/compute_basins_of_attraction.R"
"lmin.basin_summary","R/compute_basins_of_attraction.R"
"summary.basins_of_attraction","R/compute_basins_of_attraction.R"
"compute.gfc.basins","R/compute_gfc_basins.R"
"get.basin.of.gfc.basins","R/compute_gfc_basins.R"
"print.gfc_basins","R/compute_gfc_basins.R"
"compute.gfc.modulation","R/compute_gfc_modulation.R"
"edge.modulation","R/compute_gfc_modulation.R"
"plot.gfc_modulation","R/compute_gfc_modulation.R"
"print.gfc_modulation","R/compute_gfc_modulation.R"
".harmonize.compute.gfc.summary","R/compute_gfc.R"
"compute.gfc","R/compute_gfc.R"
"expand.basins.to.cover","R/compute_gfc.R"
"generate.refinement.report","R/compute_gfc.R"
"print.basins_of_attraction","R/compute_gfc.R"
"compute.Lp.graphs","R/compute_Lp_graphs.R"
"load.Lp.results","R/compute_Lp_graphs.R"
"summary.Lp.results","R/compute_Lp_graphs.R"
"cell.y.values","R/compute_partition_cell_stats.R"
"compute.partition.cell.stats","R/compute_partition_cell_stats.R"
"consensus.clustering","R/consensus_clustering.R"
"cst.graph.mixing.stats","R/cst_graph_mixing_stats.R"
"plot.cst_graph_mixing_stats","R/cst_graph_mixing_stats.R"
"data.smoother","R/data_smoother.R"
"gdensity","R/density.R"
"compute.binary.partition.diagnostics","R/detect_binary_partition.R"
"detect.strong.binary.partition","R/detect_binary_partition.R"
"plot_binary_partition_diagnostics","R/detect_binary_partition.R"
".dpt_prepare_graph_inputs","R/diffusion_pseudotime_sparse.R"
".dpt_transition_slots_to_dgCMatrix","R/diffusion_pseudotime_sparse.R"
".dpt_vertices_to_0based","R/diffusion_pseudotime_sparse.R"
".dpt_weight_mode_code","R/diffusion_pseudotime_sparse.R"
"build.sparse.transition","R/diffusion_pseudotime_sparse.R"
"compute.diffusion.pseudotime.sparse","R/diffusion_pseudotime_sparse.R"
"compute.potential.pseudotime.sparse","R/diffusion_pseudotime_sparse.R"
".dgh_as_distance_matrix","R/distance_graph_helpers.R"
".dgh_closed_knn_sets_from_dist","R/distance_graph_helpers.R"
".dgh_edge_matrix_to_lists","R/distance_graph_helpers.R"
".dgh_graph_result","R/distance_graph_helpers.R"
".dgh_iknn_graph_from_dist","R/distance_graph_helpers.R"
".dgh_knn_sets_from_dist","R/distance_graph_helpers.R"
".dgh_mknn_graph_from_dist","R/distance_graph_helpers.R"
".dgh_phate_support_graph_from_dist","R/distance_graph_helpers.R"
".dgh_validate_k","R/distance_graph_helpers.R"
"distance.quantile.bin.analysis","R/distance_quantile_bin_analysis.R"
"plot.distance.quantile.bins","R/distance_quantile_bin_analysis.R"
"angular.wasserstein.index","R/divergences.R"
"classifier.based.divergence","R/divergences.R"
"cpp.angular.wasserstein.index","R/divergences.R"
"energy.distance","R/divergences.R"
"entropy.difference","R/divergences.R"
"init.version.nn.distance.ratio.estimator","R/divergences.R"
"jensen.shannon.divergence","R/divergences.R"
"kullback.leibler.divergence","R/divergences.R"
"mutual.information","R/divergences.R"
